2025-06-09 10:00:50,938 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:00:50,938 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error initializing PairManager: list indices must be integers or slices, not str
2025-06-09 10:03:20,172 - ERROR - Error in main: list indices must be integers or slices, not str
2025-06-09 14:26:24,320 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:24,321 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:32,164 - ERROR - Error marking post_sent for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:26:32,165 - ERROR - Error in delay_post_request for camera 0, pair (10000160, 10000170): (0, '10000160', '10000170')
2025-06-09 14:26:34,485 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:26:34,485 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:26:42,344 - ERROR - Error marking post_sent for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:26:42,344 - ERROR - Error in delay_post_request for camera 0, pair (10000161, 10000171): (0, '10000161', '10000171')
2025-06-09 14:26:44,663 - ERROR - Error marking post_sent for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:44,663 - ERROR - Error in delay_post_request for camera 1, pair (10000234, 10000164): (1, '10000234', '10000164')
2025-06-09 14:26:52,521 - ERROR - Error marking post_sent for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:26:52,521 - ERROR - Error in delay_post_request for camera 0, pair (10000162, 10000140): (0, '10000162', '10000140')
2025-06-09 14:26:54,832 - ERROR - Error marking post_sent for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
2025-06-09 14:26:54,832 - ERROR - Error in delay_post_request for camera 1, pair (10000146, 10000164): (1, '10000146', '10000164')
